cod_ibge;municipio;ano;pop_urb;pop_rur;pop_tot;grau_urb
3545704;Santa Albertina;2040;4789;389;5178;92,49
3545803;Santa Bárbara d'Oeste;2040;189625;1500;191125;99,22
3546009;Santa Branca;2040;12672;1694;14366;88,21
3546108;Santa Clara d'Oeste;2040;1593;234;1827;87,19
3546207;Santa Cruz da Conceição;2040;4071;417;4488;90,71
3546256;Santa Cruz da Esperança;2040;1556;638;2194;70,92
3546306;Santa Cruz das Palmeiras;2040;36945;664;37609;98,23
3546405;Santa Cruz do Rio Pardo;2040;45663;2278;47941;95,25
3546504;Santa Ernestina;2040;5301;157;5458;97,12
3546603;Santa Fé do Sul;2040;29558;1211;30769;96,06
3546702;Santa Gertrudes;2040;31801;342;32143;98,94
3546801;Santa Isabel;2040;51224;8518;59742;85,74
3546900;Santa Lucia;2040;8707;274;8981;96,95
3547007;Santa Maria da Serra;2040;6865;402;7267;94,47
3547106;Santa Mercedes;2040;2710;117;2827;95,86
3547205;Santana da Ponte Pensa;2040;1063;204;1267;83,9
3547304;Santana de Parnaíba;2040;178709;0;178709;100
3547403;Santa Rita d'Oeste;2040;1814;230;2044;88,75
3547502;Santa Rita do Passa Quatro;2040;23930;1311;25241;94,81
3547601;Santa Rosa do Viterbo;2040;25984;664;26648;97,51
3547650;Santa Salete;2040;1160;161;1321;87,81
3547700;Santo Anastácio;2040;18701;820;19521;95,8
3547809;Santo André;2040;685195;0;685195;100
3547908;Santo Antonio da Alegria;2040;5219;1497;6716;77,71
3548005;Santo Antonio da Posse;2040;24614;523;25137;97,92
3548054;Santo Antonio do Aracanguá;2040;8203;437;8640;94,94
3548104;Santo Antonio do Jardim;2040;4276;1380;5656;75,6
3548203;Santo Antonio do Pinhal;2040;5790;1034;6824;84,85
3548302;Santo Expedito;2040;3038;95;3133;96,97
3548401;Santópolis do Aguapeí;2040;4928;100;5028;98,01
3548500;Santos;2040;434500;326;434826;99,93
3548609;São Bento do Sapucaí;2040;6068;4313;10381;58,45
3548708;São Bernardo do Campo;2040;825356;12519;837875;98,51
